'tween decks	'tween deck
accipitriformes	accipitriforme
acclivitous	acclivitou
accommodating	accommodat
accompanied	accompani
accompanying	accompany
accomplished	accomplish
accordance of rights	accordance of right
according	accord
accounting	account
accoutered	accouter
accoutred	accoutr
accredited	accredit
accroides	accroide
accrual basis	accrual basi
accrued	accru
accumulated	accumulat
accursed	accurs
accused	accus
accusing	accus
accustomed	accustom
ace of clubs	ace of club
ace of diamonds	ace of diamond
ace of hearts	ace of heart
ace of spades	ace of spade
acephalous	acephalou
acer platanoides	acer platanoide
acer pseudoplatanus	acer pseudoplatanu
acervulus	acervulu
acetous	acetou
acherontia atropos	acherontia atropo
acheta assimilis	acheta assimili
achilles	achille
achimenes	achimene
aching	ach
achlamydeous	achlamydeou
achoerodus	achoerodu
achras	achra
achromatic lens	achromatic len
achromatous	achromatou
achromous	achromou
acid anhydrides	acid anhydride
acid-forming	acid-form
acid-loving	acid-lov
acid-tasting	acid-tast
acidophilous	acidophilou
acidophilus	acidophilu
acidosis	acidosi
acidulous	acidulou
acinonyx jubatus	acinonyx jubatu
acinos	acino
acinos arvensis	acinos arvensi
acinous	acinou
acinus	acinu
acipenser transmontanus	acipenser transmontanu
acknowledged	acknowledg
acne vulgaris	acne vulgari
acned	acn
acocanthera spectabilis	acocanthera spectabili
aconitum napellus	aconitum napellu
acores	acore
acorn-shaped	acorn-shap
acorus	acoru
acorus calamus	acorus calamu
acoustic meatus	acoustic meatu
acoustics	acoustic
acquainted	acquaint
acquired	acquir
acquired hemochromatosis	acquired hemochromatosi
acquiring	acquir
acquitted	acquitt
acragas	acraga
acrasiomycetes	acrasiomycete
acres	acre
acridotheres	acridothere
acridotheres tristis	acridotheres tristi
acrimonious	acrimoniou
acris	acri
acris crepitans	acris crepitan
acris gryllus	acris gryllu
acrobates	acrobate
acrobatics	acrobatic
acrocarpous	acrocarpou
acrocarpus	acrocarpu
acrocarpus fraxinifolius	acrocarpus fraxinifoliu
acrocephalus	acrocephalu
acrocephalus schoenobaenus	acrocephalus schoenobaenu
acrocyanosis	acrocyanosi
acrogenous	acrogenou
acromphalus	acromphalu
acronymous	acronymou
acropolis	acropoli
act as	act a
actias	actia
actifed	actif
acting	act
actinic dermatitis	actinic dermatiti
actinic keratosis	actinic keratosi
actinide series	actinide serie
actinidia chinensis	actinidia chinensi
actiniopteris	actiniopteri
actinomeris	actinomeri
actinomorphous	actinomorphou
actinomyces	actinomyce
actinomycetales	actinomycetale
actinomycetous	actinomycetou
actinomycosis	actinomycosi
action painting	action paint
actitis	actiti
actitis hypoleucos	actitis hypoleuco
activated	activat
activating	activat
acts	act
acts of the apostles	acts of the apostle
actual damages	actual damage
actuated	actuat
actuating	actuat
actus reus	actus reu
aculeated	aculeat
aculeus	aculeu
acute anterior poliomyelitis	acute anterior poliomyeliti
acute gastritis	acute gastriti
acute glossitis	acute glossiti
acute hemorrhagic encephalitis	acute hemorrhagic encephaliti
acute inclusion body encephalitis	acute inclusion body encephaliti
acute pyelonephritis	acute pyelonephriti
acyl anhydrides	acyl anhydride
adactylous	adactylou
adams	adam
adapted	adapt
addax nasomaculatus	addax nasomaculatu
addicted	addict
addlebrained	addlebrain
addled	addl
addlepated	addlepat
addressed	address
adducing	adduc
adducting	adduct
adelges	adelge
adelges abietis	adelges abieti
adenitis	adeniti
adenocarcinomatous	adenocarcinomatou
adenohypophysis	adenohypophysi
adenomyosis	adenomyosi
adenosis	adenosi
adenovirus	adenoviru
adiantum capillus-veneris	adiantum capillus-veneri
adios	adio
adiposis	adiposi
adirondack mountains	adirondack mountain
adirondacks	adirondack
adjusted	adjust
administrative data processing	administrative data process
administrative hearing	administrative hear
admiralty islands	admiralty island
admired	admir
admonishing	admonish
adolf loos	adolf loo
adolf windaus	adolf windau
adolph simon ochs	adolph simon och
adonis	adoni
adopted	adopt
adored	ador
adoring	ador
adorned	adorn
adpressed	adpress
adps	adp
adrianopolis	adrianopoli
adscititious	adscititiou
adscripted	adscript
adult-onset diabetes	adult-onset diabete
adult-onset diabetes mellitus	adult-onset diabetes mellitu
adulterated	adulterat
adulterating	adulterat
adulterous	adulterou
advanced	advanc
advancing	advanc
advantageous	advantageou
adventitious	adventitiou
adventurous	adventurou
advertised	advertis
advertising	advertis
advertizing	advertiz
advised	advis
aedes	aede
aedes albopictus	aedes albopictu
aegadean islands	aegadean island
aegadean isles	aegadean isle
aegates	aegate
aegates isles	aegates isle
aegiceras	aegicera
aegiceras majus	aegiceras maju
aegilops	aegilop
aegilops triuncalis	aegilops triuncali
aegis	aegi
aegisthus	aegisthu
aegospotamos	aegospotamo
aegypius	aegypiu
aegypius monachus	aegypius monachu
aegyptopithecus	aegyptopithecu
aelius donatus	aelius donatu
aeneas	aenea
aeneas silvius	aeneas silviu
aengus	aengu
aeolis	aeoli
aeolus	aeolu
aepyceros	aepycero
aepyceros melampus	aepyceros melampu
aepyorniformes	aepyorniforme
aepyornis	aepyorni
aerated	aerat
aerides	aeride
aeriferous	aeriferou
aerobacter aerogenes	aerobacter aerogene
aerobatics	aerobatic
aerobics	aerobic
aerobiosis	aerobiosi
aerodynamics	aerodynamic
aeromechanics	aeromechanic
aeronautical engineering	aeronautical engineer
aeronautics	aeronautic
aerophilous	aerophilou
aerosolised	aerosolis
aerosolized	aerosoliz
aeschylus	aeschylu
aeschynanthus	aeschynanthu
aeschynanthus radicans	aeschynanthus radican
aesculapius	aesculapiu
aesculus	aesculu
aesop's fables	aesop's fable
aesthesis	aesthesi
aesthetics	aesthetic
aetobatus	aetobatu
afars and issas	afars and issa
afeared	afear
affairs	affair
affected	affect
affecting	affect
affiliated	affiliat
affined	affin
affirmative pleading	affirmative plead
affirmed	affirm
affixed	affix
afflatus	afflatu
afflicted	afflict
aforementioned	aforemention
afrikaans	afrikaan
afrocarpus	afrocarpu
afropavo congensis	afropavo congensi
after hours	after hour
after-hours	after-hour
afterpains	afterpain
afters	after
aftershafted	aftershaft
afterwards	afterward
agalactosis	agalactosi
agalinis	agalini
agamogenesis	agamogenesi
agamous	agamou
agapanthus	agapanthu
agapanthus africanus	agapanthus africanu
agapornis	agaporni
agaricales	agaricale
agaricus	agaricu
agaricus arvensis	agaricus arvensi
agaricus campestris	agaricus campestri
agastache nepetoides	agastache nepetoide
agathis	agathi
agathis australis	agathis australi
agave atrovirens	agave atroviren
agdestis	agdesti
agdistis	agdisti
age of fishes	age of fishe
age of mammals	age of mammal
age of reptiles	age of reptile
age-related	age-relat
ageing	age
agelaius	agelaiu
agelaius phoeniceus	agelaius phoeniceu
agenesis	agenesi
aggeus	aggeu
agglomerated	agglomerat
aggravated	aggravat
aggravating	aggravat
aggregated	aggregat
agitated	agitat
agitating	agitat
agkistrodon piscivorus	agkistrodon piscivoru
agonised	agonis
agonising	agonis
agonized	agoniz
agonizing	agoniz
agonus	agonu
agonus cataphractus	agonus cataphractu
agranulocytosis	agranulocytosi
agranulosis	agranulosi
agreed	agre
agriocharis	agriochari
agrobacterium tumefaciens	agrobacterium tumefacien
agropyron repens	agropyron repen
agrostis	agrosti
agrostis palustris	agrostis palustri
ague weed	ague we
agueweed	aguewe
aided	aid
aides	aide
aidoneus	aidoneu
aids	aid
ailanthus	ailanthu
ailing	ail
ailurus	ailuru
ailurus fulgens	ailurus fulgen
air conditioning	air condition
air corps	air corp
air gas	air ga
air spring	air spr
air-breathing	air-breath
air-conditioned	air-condition
air-cooled	air-cool
air-dried	air-dri
air-filled	air-fill
airbus	airbu
aircraft landing	aircraft land
aired	air
airheaded	airhead
airing	air
airplane landing	airplane land
airplane mechanics	airplane mechanic
airs	air
airspeed	airspe
ajuga chamaepitys	ajuga chamaepity
ajuga genevensis	ajuga genevensi
ajuga pyramidalis	ajuga pyramidali
ajuga reptans	ajuga reptan
akinesis	akinesi
aksa martyrs brigades	aksa martyrs brigade
al-aksa martyrs brigades	al-aksa martyrs brigade
alacritous	alacritou
alan mathison turing	alan mathison tur
alan turing	alan tur
aland islands	aland island
alarmed	alarm
alarming	alarm
alas	ala
alated	alat
alauda arvensis	alauda arvensi
albatrellus	albatrellu
albatrellus dispansus	albatrellus dispansu
albatrellus ovinus	albatrellus ovinu
albers	alber
albert camus	albert camu
albigenses	albigense
albula vulpes	albula vulpe
albuminous	albuminou
alcaeus	alcaeu
alcedo atthis	alcedo atthi
alcelaphus	alcelaphu
alces	alce
alces alces	alces alce
alcibiades	alcibiade
alcides	alcide
alcoholics anonymous	alcoholics anonymou
alectis	alecti
alectis ciliaris	alectis ciliari
alectoris	alectori
alepisaurus	alepisauru
alerting	alert
aletris	aletri
aletta jacobs	aletta jacob
aleurites	aleurite
aleutian islands	aleutian island
aleutians	aleutian
alexander fleming	alexander flem
alexanders	alexander
alexandre dumas	alexandre duma
aleyrodes	aleyrode
alfred	alfr
alfred dreyfus	alfred dreyfu
alfred noyes	alfred noye
algeripithecus	algeripithecu
algeripithecus minutus	algeripithecus minutu
algiers	algier
alias	alia
alice b. toklas	alice b. tokla
alice-josephine pons	alice-josephine pon
alienated	alienat
alienating	alienat
aligned	align
aligning	align
alismales	alismale
alizarin red	alizarin r
alizarine red	alizarine r
alkali poisoning	alkali poison
alkaline-loving	alkaline-lov
alkalosis	alkalosi
alkane series	alkane serie
all fours	all four
all-devouring	all-devour
all-embracing	all-embrac
all-encompassing	all-encompass
all-fired	all-fir
all-knowing	all-know
all-mains	all-main
all-or-nothing	all-or-noth
all-victorious	all-victoriou
allantois	allantoi
alleged	alleg
alleghenies	alleghenie
allegheny mountains	allegheny mountain
allergic rhinitis	allergic rhiniti
alleviated	alleviat
allhallows	allhallow
alliaceous	alliaceou
alliaria officinalis	alliaria officinali
allied	alli
allies	allie
alligator mississipiensis	alligator mississipiensi
alligator sinensis	alligator sinensi
alligator weed	alligator we
alligatored	alligator
allis	alli
allochthonous	allochthonou
allogamous	allogamou
allomerous	allomerou
allosaurus	allosauru
allotted	allott
alloyed	alloy
alluring	allur
almond-eyed	almond-ey
almond-scented	almond-scent
almond-shaped	almond-shap
alms	alm
alms-giving	alms-giv
almsgiving	almsgiv
alnus	alnu
alnus veridis	alnus veridi
alnus vulgaris	alnus vulgari
aloes	aloe
alopecurus	alopecuru
alopecurus pratensis	alopecurus pratensi
alopex lagopus	alopex lagopu
alopius	alopiu
alopius vulpinus	alopius vulpinu
alosa chrysocloris	alosa chrysoclori
alosa pseudoharengus	alosa pseudoharengu
alpha crucis	alpha cruci
alpha orionis	alpha orioni
alphabetic writing	alphabetic writ
alphabetised	alphabetis
alphabetized	alphabetiz
alphanumeric characters	alphanumeric character
alphanumerics	alphanumeric
alphavirus	alphaviru
alpinia officinalis	alpinia officinali
alps	alp
also known as	also known a
alstonia scholaris	alstonia scholari
altai mountains	altai mountain
altay mountains	altay mountain
altered	alter
altering	alter
alternanthera philoxeroides	alternanthera philoxeroide
alternating	alternat
alternation of generations	alternation of generation
alternative birthing	alternative birth
alternative pleading	alternative plead
althea officinalis	althea officinali
altitudinous	altitudinou
altocumulus	altocumulu
altostratus	altostratu
aluminiferous	aluminiferou
aluminous	aluminou
alumnus	alumnu
alveolar bed	alveolar b
alveolitis	alveoliti
alveolus	alveolu
always	alway
alytes	alyte
alytes obstetricans	alytes obstetrican
alzheimer's	alzheimer'
alzheimers	alzheimer
amalgamated	amalgamat
amanita phalloides	amanita phalloide
amanita rubescens	amanita rubescen
amanuensis	amanuensi
amaranthus	amaranthu
amaranthus albus	amaranthus albu
amaranthus caudatus	amaranthus caudatu
amaranthus cruentus	amaranthus cruentu
amaranthus graecizans	amaranthus graecizan
amaranthus hybridus erythrostachys	amaranthus hybridus erythrostachy
amaranthus hybridus hypochondriacus	amaranthus hybridus hypochondriacu
amaranthus hypochondriacus	amaranthus hypochondriacu
amaranthus spinosus	amaranthus spinosu
amaryllis	amarylli
amaurosis	amaurosi
amazed	amaz
amazing	amaz
ambages	ambage
ambagious	ambagiou
ambergris	ambergri
ambidextrous	ambidextrou
ambiguous	ambiguou
ambitious	ambitiou
ambloplites	ambloplite
ambloplites rupestris	ambloplites rupestri
amblyrhynchus	amblyrhynchu
amblyrhynchus cristatus	amblyrhynchus cristatu
amebiasis	amebiasi
amebiosis	amebiosi
amebous	amebou
ameiurus	ameiuru
ameiurus melas	ameiurus mela
ameliorating	ameliorat
amelogenesis	amelogenesi
amended	amend
amends	amend
amenities	amenitie
amentaceous	amentaceou
amentiferous	amentiferou
american falls	american fall
american federation of labor and congress of industrial organizations	american federation of labor and congress of industrial organization
american leishmaniasis	american leishmaniasi
american lotus	american lotu
american virgin islands	american virgin island
american wormseed	american wormse
americus vespucius	americus vespuciu
ametabolous	ametabolou
amidships	amidship
amitosis	amitosi
ammodytes	ammodyte
ammoniated	ammoniat
ammotragus	ammotragu
amniocentesis	amniocentesi
amnios	amnio
amoebiasis	amoebiasi
amoebiosis	amoebiosi
amoebous	amoebou
amorous	amorou
amorpha canescens	amorpha canescen
amorphophallus	amorphophallu
amorphophallus campanulatus	amorphophallus campanulatu
amorphophallus paeonifolius	amorphophallus paeonifoliu
amorphous	amorphou
amos	amo
amphibian genus	amphibian genu
amphibious	amphibiou
amphibious landing	amphibious land
amphibolips	amphibolip
amphimixis	amphimixi
amphioxus	amphioxu
amphitropous	amphitropou
amused	amus
amusing	amus
amygdaloid nucleus	amygdaloid nucleu
amygdalus	amygdalu
amygdalus communis	amygdalus communi
amylaceous	amylaceou
amyloidosis	amyloidosi
amylolysis	amylolysi
amyotrophic lateral sclerosis	amyotrophic lateral sclerosi
anabas	anaba
anabas testudineus	anabas testudineu
anabiosis	anabiosi
anabrus	anabru
anachronous	anachronou
anaclisis	anaclisi
anacyclus	anacyclu
anadiplosis	anadiplosi
anadromous	anadromou
anagallis	anagalli
anagallis arvensis	anagallis arvensi
anagrams	anagram
anagyris	anagyri
analects	analect
analogous	analogou
analysis	analysi
analysis situs	analysis situ
analytic thinking	analytic think
analyzed	analyz
anamnesis	anamnesi
anamorphosis	anamorphosi
ananas	anana
ananas comosus	ananas comosu
ananias	anania
anaphalis	anaphali
anaphylaxis	anaphylaxi
anaplasmosis	anaplasmosi
anarhichas	anarhicha
anas	ana
anas discors	anas discor
anas platyrhynchos	anas platyrhyncho
anas rubripes	anas rubripe
anasa tristis	anasa tristi
anasarcous	anasarcou
anastalsis	anastalsi
anastigmatic lens	anastigmatic len
anastomosis	anastomosi
anastomus	anastomu
anastylosis	anastylosi
anatropous	anatropou
anaxagoras	anaxagora
anaximenes	anaximene
anchor ring	anchor r
anchovy dressing	anchovy dress
anchusa capensis	anchusa capensi
anchusa officinalis	anchusa officinali
anchylosis	anchylosi
ancients	ancient
ancylus	ancylu
ancylus fluviatilis	ancylus fluviatili
anders celsius	anders celsiu
andes	ande
andira inermis	andira inermi
andre maurois	andre mauroi
andreaeales	andreaeale
andreas vesalius	andreas vesaliu
andrew jackson downing	andrew jackson down
andrews	andrew
andricus	andricu
androgenesis	androgenesi
androgenous	androgenou
androgynous	androgynou
andropogon furcatus	andropogon furcatu
andropogon scoparius	andropogon scopariu
andropogon virginicus	andropogon virginicu
aneides	aneide
aneides lugubris	aneides lugubri
anemone canadensis	anemone canadensi
anemone occidentalis	anemone occidentali
anemone sylvestris	anemone sylvestri
anemone tetonensis	anemone tetonensi
anemonella thalictroides	anemonella thalictroide
anemophilous	anemophilou
anemopsis	anemopsi
anencephalous	anencephalou
anestrous	anestrou
anestrus	anestru
anethum graveolens	anethum graveolen
anfractuous	anfractuou
angas	anga
angel falls	angel fall
angelica sylvestris	angelica sylvestri
angelus	angelu
angered	anger
angiitis	angiiti
angina pectoris	angina pectori
anginous	anginou
angiocarpous	angiocarpou
angiogenesis	angiogenesi
angiomatous	angiomatou
angiopteris	angiopteri
angiospermous	angiospermou
angled	angl
anglewing	anglew
angling	angl
anguilliformes	anguilliforme
anguis	angui
anguis fragilis	anguis fragili
anguished	anguish
angus	angu
anhidrosis	anhidrosi
anhydrosis	anhydrosi
anhydrous	anhydrou
anicius manlius severinus boethius	anicius manlius severinus boethiu
anigozanthus	anigozanthu
animal virus	animal viru
animate being	animate be
animate thing	animate th
animated	animat
animating	animat
animatronics	animatronic
animus	animu
anise seed	anise se
anise-scented	anise-scent
aniseed	anise
anisogamous	anisogamou
anisotremus	anisotremu
anisotremus surinamensis	anisotremus surinamensi
anisotremus virginicus	anisotremus virginicu
anklets	anklet
ankus	anku
ankylosaurus	ankylosauru
ankylosing spondylitis	ankylosing spondyliti
ankylosis	ankylosi
anna mary robertson moses	anna mary robertson mose
annals	annal
annapolis	annapoli
annealing	anneal
annihilated	annihilat
annihilating	annihilat
annotating	annotat
announced	announc
annoyed	annoy
annoying	annoy
annual ring	annual r
annulated	annulat
annulus	annulu
anoa depressicornis	anoa depressicorni
anoa mindorensis	anoa mindorensi
anoectochilus	anoectochilu
anoestrous	anoestrou
anoestrus	anoestru
anointing	anoint
anolis	anoli
anolis carolinensis	anolis carolinensi
anomala orientalis	anomala orientali
anomalops	anomalop
anomalous	anomalou
anonymous	anonymou
anopheles	anophele
anoplophora glabripennis	anoplophora glabripenni
anser cygnoides	anser cygnoide
anseres	ansere
anseriformes	anseriforme
answering	answer
antares	antare
anterior labial veins	anterior labial vein
anterior naris	anterior nari
anthemis	anthemi
anthemis arvensis	anthemis arvensi
anthemis nobilis	anthemis nobili
antheraea polyphemus	antheraea polyphemu
antheropeas	antheropea
anthesis	anthesi
anthoceros	anthocero
anthocerotales	anthocerotale
anthonomus	anthonomu
anthonomus grandis	anthonomus grandi
anthony hopkins	anthony hopkin
anthophagous	anthophagou
anthophilous	anthophilou
anthracosis	anthracosi
anthrax bacillus	anthrax bacillu
anthriscus	anthriscu
anthriscus sylvestris	anthriscus sylvestri
anthropogenesis	anthropogenesi
anthropomorphous	anthropomorphou
anthropophagous	anthropophagou
anthropophagus	anthropophagu
anthus	anthu
anthus pratensis	anthus pratensi
anthyllis	anthylli
anthyllis barba-jovis	anthyllis barba-jovi
antialiasing	antialias
antibiosis	antibiosi
anticipated	anticipat
antidorcas	antidorca
antidorcas marsupialis	antidorcas marsupiali
antigonus	antigonu
antigonus cyclops	antigonus cyclop
antiknocking	antiknock
antilles	antille
antimonious	antimoniou
antiphrasis	antiphrasi
antipodes	antipode
antipyresis	antipyresi
antiquated	antiquat
antirrhinum filipes	antirrhinum filipe
antirrhinum majus	antirrhinum maju
antisepsis	antisepsi
antithesis	antithesi
antitrades	antitrade
antlered	antler
antoninus	antoninu
antonius	antoniu
antonius pius	antonius piu
antonius stradivarius	antonius stradivariu
antonymous	antonymou
antrozous	antrozou
antrozous pallidus	antrozous pallidu
anubis	anubi
anuresis	anuresi
anurous	anurou
anus	anu
anvers	anver
anxiety neurosis	anxiety neurosi
anxious	anxiou
anyways	anyway
aortic plexus	aortic plexu
aortic stenosis	aortic stenosi
aortitis	aortiti
aotus	aotu
aotus trivirgatus	aotus trivirgatu
apartment building	apartment build
apatosaurus	apatosauru
apatosaurus excelsus	apatosaurus excelsu
apatura iris	apatura iri
apennines	apennine
apetalous	apetalou
aphaeresis	aphaeresi
apheresis	apheresi
aphesis	aphesi
aphis	aphi
aphrophora saratogensis	aphrophora saratogensi
aphyllanthes	aphyllanthe
aphyllophorales	aphyllophorale
aphyllous	aphyllou
apios	apio
apis	api
apium graveolens	apium graveolen
apivorous	apivorou
apoapsis	apoapsi
apocarpous	apocarpou
apocynaceous	apocynaceou
apodemus	apodemu
apodemus sylvaticus	apodemus sylvaticu
apodiformes	apodiforme
apodous	apodou
apogamous	apogamou
apogon maculatus	apogon maculatu
apologetics	apologetic
apomixis	apomixi
aponeurosis	aponeurosi
apophasis	apophasi
apophysis	apophysi
apoptosis	apoptosi
aporocactus	aporocactu
aporocactus flagelliformis	aporocactus flagelliformi
aposiopesis	aposiopesi
apostle of the gentiles	apostle of the gentile
apotheosis	apotheosi
appalachian mountains	appalachian mountain
appalachians	appalachian
appalled	appall
appalling	appall
apparatus	apparatu
apparatus urogenitalis	apparatus urogenitali
appareled	apparel
appealing	appeal
appearing	appear
appeasing	appeas
appendaged	appendag
appendicitis	appendiciti
appetising	appetis
appetizing	appetiz
apple dumpling	apple dumpl
apple-scented	apple-scent
apple-shaped	apple-shap
apple-sized	apple-siz
applied	appli
applied mathematics	applied mathematic
appointed	appoint
apportioned	apportion
apportioning	apportion
appraising	apprais
appreciated	appreciat
apprehended	apprehend
apprenticed	apprentic
appressed	appress
approaching	approach
approved	approv
approving	approv
apron string	apron str
apropos	apropo
apsis	apsi
aptenodytes	aptenodyte
apterous	apterou
apterygiformes	apterygiforme
apus	apu
apus apus	apus apu
apyretic tetanus	apyretic tetanu
aqua fortis	aqua forti
aquarius	aquariu
aquatics	aquatic
aqueous	aqueou
aquiferous	aquiferou
aquila chrysaetos	aquila chrysaeto
aquilegia canadensis	aquilegia canadensi
aquilegia vulgaris	aquilegia vulgari
aquinas	aquina
arab revolutionary brigades	arab revolutionary brigade
arab-berbers	arab-berber
arabian nights	arabian night
arabidopsis	arabidopsi
arabis	arabi
arabis canadensis	arabis canadensi
araceous	araceou
arachis	arachi
arales	arale
aralia nudicaulis	aralia nudicauli
aramus	aramu
aramus pictus	aramus pictu
aran islands	aran island
araneus	araneu
araneus cavaticus	araneus cavaticu
aras	ara
araucaria columnaris	araucaria columnari
araxes	araxe
arboraceous	arboraceou
arboreous	arboreou
arborous	arborou
arborvirus	arborviru
arbovirus	arboviru
arbutus	arbutu
arcado-cyprians	arcado-cyprian
arccos	arcco
arced	arc
archaeornis	archaeorni
archaeornithes	archaeornithe
arched	arch
archeological remains	archeological remain
archilochus	archilochu
archilochus colubris	archilochus colubri
archimedes	archimede
arching	arch
architectonics	architectonic
architectural engineering	architectural engineer
architeuthis	architeuthi
archives	archive
archosargus	archosargu
archosargus probatocephalus	archosargus probatocephalu
archosargus rhomboidalis	archosargus rhomboidali
arctictis	arcticti
arctium minus	arctium minu
arctocebus	arctocebu
arctocebus calabarensis	arctocebus calabarensi
arctocephalus	arctocephalu
arctonyx collaris	arctonyx collari
arctostaphylos	arctostaphylo
arctotis	arctoti
arcturus	arcturu
arcus	arcu
arcus senilis	arcus senili
arcus zygomaticus	arcus zygomaticu
ardea herodius	ardea herodiu
ardea occidentalis	ardea occidentali
ardennes	ardenne
ardent spirits	ardent spirit
ardisia escallonoides	ardisia escallonoide
ards	ard
arduous	arduou
area bombing	area bomb
arenaceous	arenaceou
arenaria interpres	arenaria interpre
arenaria peploides	arenaria peploide
arenavirus	arenaviru
arenicolous	arenicolou
areopagus	areopagu
ares	are
areteria cervicalis	areteria cervicali
argentiferous	argentiferou
argentous	argentou
argillaceous	argillaceou
argos	argo
arguing	argu
argus	argu
argus-eyed	argus-ey
argusianus	argusianu
argynnis	argynni
argyranthemum frutescens	argyranthemum frutescen
arhus	arhu
aries	arie
ariled	aril
arilus	arilu
arilus cristatus	arilus cristatu
ariocarpus	ariocarpu
ariocarpus fissuratus	ariocarpus fissuratu
arisaema atrorubens	arisaema atroruben
aristarchus	aristarchu
aristarchus of samos	aristarchus of samo
aristolochia clematitis	aristolochia clematiti
aristolochiales	aristolochiale
aristophanes	aristophane
arius	ariu
arizona elegans	arizona elegan
arkansas	arkansa
arles	arle
arm-twisting	arm-twist
armand jean du plessis	armand jean du plessi
armed	arm
armed forces	armed force
armed services	armed service
arming	arm
arminius	arminiu
armor plating	armor plat
armor-plated	armor-plat
armored	armor
armorial bearing	armorial bear
armour-plated	armour-plat
armoured	armour
arms	arm
army corps	army corp
army of the righteous	army of the righteou
arna wendell bontemps	arna wendell bontemp
arnoseris	arnoseri
aroused	arous
arquebus	arquebu
arranged	arrang
arranging	arrang
arras	arra
arrayed	array
arrears	arrear
arresting	arrest
arrhenatherum elatius	arrhenatherum elatiu
arrhenius	arrheniu
arrow-shaped	arrow-shap
arsenious	arseniou
artamus	artamu
artaxerxes	artaxerxe
artemis	artemi
artemis spinescens	artemis spinescen
artemisia campestris	artemisia campestri
artemisia dracunculus	artemisia dracunculu
artemisia gnaphalodes	artemisia gnaphalode
artemisia vulgaris	artemisia vulgari
artemision at ephesus	artemision at ephesu
arteria alveolaris	arteria alveolari
arteria angularis	arteria angulari
arteria appendicularis	arteria appendiculari
arteria ascendens	arteria ascenden
arteria auricularis	arteria auriculari
arteria axillaris	arteria axillari
arteria basilaris	arteria basilari
arteria brachialis	arteria brachiali
arteria buccalis	arteria buccali
arteria bulbi penis	arteria bulbi peni
arteria carotis	arteria caroti
arteria ciliaris	arteria ciliari
arteria circumflexa femoris	arteria circumflexa femori
